CustomerID,PlanType,MonthlyFee,ContractType,StartDate,EndDate
C00087,Enterprise,205.22,Annual,23.04.2023,
C00088,Pro,80.61,Annual,12/27/2023,
C00089,Basic,18.01,Month-to-Month,2025-05-25 00:00:00,
C00090,Pro,75.52,Quarterly,26.07.2025,
C00091,Pro,71.84,Month-to-Month,2024-05-15 00:00:00,2024-10-26 00:00:00
C00092,Basic,16.63,Month-to-Month,2025-06-28 00:00:00,2026-01-18 00:00:00
C00093,Standard,38.64,Month-to-Month,08/06/2025,
C00094,Basic,20.24,Month-to-Month,2024-03-23 00:00:00,2025-02-14 00:00:00
C00095,Standard,34.69,month to month,2025-10-14 00:00:00,
C00096,Basic,19.41,Month-to-Month,2023-11-27 00:00:00,
C00097,Standard,41.45,Month-to-Month,2023-10-06 00:00:00,
C00098,Std,16.21,Month-to-Month,2025-02-16 00:00:00,
C00099,Standard,38.16,Quarterly,2024-12-27 00:00:00,
C00100,Basic,,Annual,2023-06-21 00:00:00,
C00101,Standard,40.72,Quarterly,2025-08-05 00:00:00,
C00102,Standard,33.16,Quarterly,2023-08-14 00:00:00,2024-07-22 00:00:00
C00103,Standard,41.05,Quarterly,2025-06-29 00:00:00,2025-12-10 00:00:00
C00104,Basic,17.86,Month-to-Month,2023-01-15 00:00:00,
C00105,Basic,20.05,Month-to-Month,2025-06-24 00:00:00,
C00106,Ent,36.85,Month-to-Month,2025-06-10 00:00:00,
C00107,Pro,78.66,Month-to-Month,2025-05-31 00:00:00,
C00108,Pro+,18.18,Annual,20.01.2025,
C00109,basic,39.01,Month-to-Month,17.06.2024,
C00110,Basic,18.14,Month-to-Month,2025-03-19 00:00:00,
C00111,PRO ,38.3,Annual,2023-11-14 00:00:00,
C00112,Ent,17.21,Month-to-Month,2025-06-12 00:00:00,08/20/2025
C00113,Standard,40.53,Month-to-Month,2024-09-23 00:00:00,
C00114,Basic,19.27,Month-to-Month,2024-06-05 00:00:00,
C00115,Basic,16.54,Annual,2024-07-30 00:00:00,
C00116,PRO ,20.51,Month-to-Month,2024-10-16 00:00:00,
C00117,Basic,18.73,Month-to-Month,2023-02-19 00:00:00,
C00118,Standard,,Month-to-Month,2023-06-07 00:00:00,
C00119,Enterprise,211.17,Annual,2023-10-08,
C00120,Standard,40.02,Month-to-Month,2023-05-24 00:00:00,
C00121,Pro,86.36,Month-to-Month,05/12/2024,
C00122,Pro+,38.08,Quarterly,2025-02-04 00:00:00,
C00123,Basic,20.57,Quarterly,2025-01-20 00:00:00,
C00124,Basic,19.19,Month-to-Month,2024-06-17 00:00:00,
C00125,Basic,19.77,Month-to-Month,2025-08-29 00:00:00,
C00126,Basic,19.61,Month-to-Month,2024-10-07 00:00:00,
C00127,Pro,86.84,Annual,2023-04-11 00:00:00,
C00128,Standard,41.25,Month-to-Month,2025-05-23 00:00:00,
C00129,Standard,37.62,Quarterly,2024-10-09 00:00:00,
C00130,Standard,37.0,Annual,2024-12-20 00:00:00,
C00131,Ent,18.92,Annual,2024-10-13 00:00:00,
C00132,PRO ,36.63,Month-to-Month,20.09.2024,
C00133,Ent,17.4,Quarterly,2023-04-16 00:00:00,
C00134,Basic,15.77,Annual,2024-10-01 00:00:00,
C00135,Basic,16.65,Annual,2025-06-16 00:00:00,
C00136,Basic,22.02,Month-to-Month,2023-12-11 00:00:00,
C00137,basic,36.95,Annual,2024-11-21 00:00:00,
C00138,Pro+,21.89,Annual,2023-02-05,
C00139,Basic,19.61,Quarterly,2024-02-09 00:00:00,
C00140,Pro,78.69,annually,2024-05-10 00:00:00,
C00141,Enterprise,175.11,,2026-01-13 00:00:00,
C00142,Standard,39.01,M2M,2023-09-10 00:00:00,
C00143,Standard,44.9,Annual,2023-11-10 00:00:00,
C00144,Std,88.84,Quarterly,2024-04-10 00:00:00,
C00145,,19.42,Annual,2026-01-28 00:00:00,2026-01-04 00:00:00
C00146,Standard,35.42,month to month,2025-08-26 00:00:00,
C00147,Basic,17.55,Month-to-Month,2023-02-16 00:00:00,
C00148,Pro+,17.7,Annual,2023-09-23 00:00:00,2024-07-12 00:00:00
C00149,Enterprise,219.35,Quarterly,2025-07-18 00:00:00,
C00150,Standard,44.09,Month-to-Month,2023-03-09 00:00:00,
C00151,Enterprise,202.12,Month-to-Month,2025-08-22 00:00:00,
C00152,Standard,38.05,Quarterly,2023-11-23 00:00:00,
C00153,Standard,,Month-to-Month,2025-11-07 00:00:00,
C00154,Standard,35.95,Month-to-Month,2023-11-28 00:00:00,
C00155,Standard,39.16,Month-to-Month,2024-05-08 00:00:00,
C00156,Standard,40.44,Month-to-Month,2025-01-25 00:00:00,2026-01-18 00:00:00
C00157,Basic,17.69,Month-to-Month,2023-05-27 00:00:00,
C00158,Standard,37.02,Annual,2024-09-25 00:00:00,2025-06-14 00:00:00
C00159,Basic,17.92,Annual,2024-08-03 00:00:00,
C00160,Standard,43.42,Annual,2025-06-12 00:00:00,12/24/2025
C00161,Basic,21.91,Annual,2026-02-06 00:00:00,
C00162,Standard,39.36,month to month,2025-01-23 00:00:00,
C00163,Ent,18.59,Month-to-Month,2024-04-13 00:00:00,
C00164,Basic,18.09,Month-to-Month,2024-04-14 00:00:00,
C00165,Standard,39.01,Month-to-Month,04/29/2024,
C00166,Basic,18.16,Annual,2025-07-06 00:00:00,
C00167,Enterprise,197.46,Month-to-Month,10.01.2024,
C00168,Standard,40.29,Annual,2023-07-21 00:00:00,
C00169,Basic,18.38,Month-to-Month,01/26/2024,
C00170,Basic,18.71,Month-to-Month,2023-01-30 00:00:00,2023-12-02 00:00:00
C00171,Pro,,Month-to-Month,2023-05-07 00:00:00,2024-04-02 00:00:00
C00172,Standard,38.01,Month-to-Month,2023-04-12 00:00:00,
C00173,Basic,18.33,Annual,2025-05-20 00:00:00,
C00174,Basic,20.16,Annual,2025-04-02 00:00:00,2025-07-24 00:00:00
C00175,Standard,33.48,Month-to-Month,27.02.2025,
C00176,Pro,88.95,Annual,2024-06-07 00:00:00,
C00177,Basic,19.21,Annual,2025-03-23 00:00:00,
C00178,Basic,19.93,Month-to-Month,2023-07-07 00:00:00,
C00179,Basic,20.1,M2M,2025-10-14 00:00:00,
C00180,Basic,17.92,Month-to-Month,2024-07-30 00:00:00,04/23/2025
C00181,Standard,36.15,Month-to-Month,2025-12-03 00:00:00,
C00182,Enterprise,182.57,Quarterly,07/02/2023,
C00183,Enterprise,195.07,Month-to-Month,2024-07-27 00:00:00,
C00184,Pro,83.42,Month-to-Month,2025-03-04 00:00:00,2026-01-04 00:00:00
C00185,Basic,18.11,Annual,2024-07-17 00:00:00,
C00186,Enterprise,208.68,Month-to-Month,2024-05-31 00:00:00,
C00187,Basic,15.4,Annual,2023-07-15 00:00:00,
C00188,Basic,18.41,Month-to-Month,2024-03-11 00:00:00,2024-05-20 00:00:00
C00189,Standard,42.64,Month-to-Month,2023-10-03 00:00:00,
C00190,Basic,18.74,Month-to-Month,2023-12-06 00:00:00,
C00191,Pro,73.76,Month-to-Month,2025-02-23 00:00:00,
C00192,Enterprise,188.54,Month-to-Month,2024-12-23 00:00:00,2025-12-25 00:00:00
C00193,Pro,59.86,Annual,2024-11-25 00:00:00,
C00194,Pro,72.61,Annual,2024-02-15 00:00:00,
C00195,Basic,20.61,Annual,2025-12-30 00:00:00,2025-12-31 00:00:00
C00196,Basic,18.11,Month-to-Month,2023-04-11 00:00:00,08/27/2024
C00197,Pro,76.06,Quarterly,2024-01-25 00:00:00,
C00198,Standard,31.72,Month-to-Month,2023-05-14 00:00:00,06/15/2023
C00199,Pro,68.69,Annual,2024-01-21 00:00:00,
C00200,Basic,20.81,Annual,2025-12-24 00:00:00,
C00201,Basic,19.94,Annual,2024-02-28 00:00:00,2025-07-30 00:00:00
C00202,Pro+,,Month-to-Month,10/24/2025,2025-12-10 00:00:00
C00203,Standard,37.03,Annual,2024-07-25 00:00:00,2024-09-24 00:00:00
C00204,Pro,78.82,Annual,2025-03-03 00:00:00,09/08/2025
C00205,Enterprise,179.96,Month-to-Month,2024-06-06 00:00:00,
C00206,Basic,15.95,Annual,11/04/2023,
C00207,Standard,38.5,Month-to-Month,2025-05-23 00:00:00,2025-12-24 00:00:00
C00208,Basic,19.87,Month-to-Month,2026-01-08 00:00:00,
C00209,Basic,19.9,Annual,2023-11-06 00:00:00,
C00210,Basic,20.33,Annual,2025-06-10 00:00:00,
C00211,Standard,34.15,Month-to-Month,2023-10-23 00:00:00,
C00212,Standard,39.18,Month-to-Month,2025-03-19 00:00:00,
C00213,Basic,18.59,Month-to-Month,2025-06-14 00:00:00,
C00214,Standard,38.73,Month-to-Month,2024-05-23 00:00:00,2024-06-29 00:00:00
C00215,Pro,77.66,Month-to-Month,2025-04-17 00:00:00,2025-11-16 00:00:00
C00216,Basic,18.0,Month-to-Month,2023-11-11 00:00:00,2025-02-12 00:00:00
C00217,Basic,14.41,Annual,2023-04-04 00:00:00,
C00218,Standard,42.62,Month-to-Month,04/20/2023,
C00219,Pro,81.09,Month-to-Month,2024-06-01 00:00:00,
C00220,Pro+,69.62,Month-to-Month,2025-10-19 00:00:00,
C00221,Basic,19.72,Month-to-Month,2023-06-05 00:00:00,
C00222,Standard,,Month-to-Month,2024-06-06 00:00:00,
C00223,Pro,76.35,Month-to-Month,2025-03-13 00:00:00,
C00224,Basic,17.83,Month-to-Month,2023-08-28 00:00:00,
C00225,Standard,40.68,Month-to-Month,2025-03-27 00:00:00,2025-07-28 00:00:00
C00226,basic,,,2023-12-14 00:00:00,
C00227,Basic,17.33,Quarterly,2025-07-14 00:00:00,
C00228,Standard,42.53,Month-to-Month,2024-10-24 00:00:00,
C00229,Pro,77.87,Month-to-Month,09/12/2024,
C00230,Basic,18.78,Month-to-Month,07/28/2023,
C00231,Standard,41.16,Month-to-Month,2024-06-11 00:00:00,
C00232,Standard,36.92,Annual,2025-09-04 00:00:00,
C00233,Pro+,76.04,Annual,2023-01-30 00:00:00,
C00234,Pro,80.93,Month-to-Month,2025-05-08 00:00:00,
C00235,Pro,69.26,Month-to-Month,2024-07-19 00:00:00,
C00236,Basic,19.34,Month-to-Month,2025-04-01 00:00:00,
C00237,Pro+,36.64,Month-to-Month,2025-01-22 00:00:00,
C00238,Pro,84.41,Quarterly,2024-05-12 00:00:00,
C00239,,40.71,Month-to-Month,2023-12-17 00:00:00,2025-05-13 00:00:00
C00240,Standard,40.29,Month-to-Month,2024-12-10 00:00:00,2026-01-06 00:00:00
C00241,Basic,16.56,Month-to-Month,2023-06-20 00:00:00,
C00242,Pro,78.35,Month-to-Month,2024-10-29 00:00:00,
C00243,Basic,17.21,Month-to-Month,2023-04-17 00:00:00,
C00244,Basic,18.94,Month-to-Month,2025-01-12 00:00:00,2025-12-09
C00245,Pro,64.37,Month-to-Month,2024-12-13 00:00:00,2025-05-07 00:00:00
C00246,Pro,69.26,Month-to-Month,10.04.2023,
C00247,basic,217.93,M2M,2025-05-09 00:00:00,
C00248,Standard,40.15,Month-to-Month,2024-04-19 00:00:00,
C00249,Basic,18.46,Month-to-Month,2025-06-18 00:00:00,02.01.2026
C00250,Standard,36.16,Quarterly,2023-02-22 00:00:00,
C00251,Basic,,month to month,2023-07-26 00:00:00,2024-01-03 00:00:00
C00252,Pro,80.26,Quarterly,2024-07-21 00:00:00,2025-11-17 00:00:00
C00253,Standard,37.93,Quarterly,09.08.2023,
C00254,Basic,21.35,Month-to-Month,2024-01-07 00:00:00,2024-10-02 00:00:00
C00255,basic,,M2M,2025-01-23 00:00:00,
C00256,Basic,19.09,Annual,2023-06-19 00:00:00,
C00257,Pro,70.22,Month-to-Month,2025-02-10 00:00:00,
C00258,Standard,37.87,Month-to-Month,2023-04-29 00:00:00,
C00259,Basic,19.27,Annual,2023-07-24 00:00:00,
C00260,Basic,18.43,Month-to-Month,2024-11-02 00:00:00,11/17/2025
C00261,Basic,18.26,Quarterly,2025-06-23 00:00:00,
C00262,Basic,19.5,Annual,2023-07-22 00:00:00,
C00263,Pro+,88.57,Quarterly,2023-12-19 00:00:00,
C00264,Standard,39.45,Annual,2025-11-15 00:00:00,2026-01-14 00:00:00
C00265,Basic,20.74,Annual,2026-01-26 00:00:00,
C00266,Pro,82.93,Month-to-Month,2024-10-24 00:00:00,
C00267,Basic,20.65,Quarterly,2024-05-22 00:00:00,
C00268,Basic,18.07,Quarterly,2024-01-30 00:00:00,2025-07-14 00:00:00
C00269,Standard,38.35,Annual,2024-12-01 00:00:00,
C00270,Basic,18.69,M2M,2024-10-31 00:00:00,2026-01-29 00:00:00
C00271,Standard,40.7,Annual,2023-12-10 00:00:00,
C00272,Pro,84.01,Month-to-Month,2023-02-06 00:00:00,
C00273,Pro,79.79,Quarterly,2023-07-04 00:00:00,2024-04-28 00:00:00
C00274,Basic,20.33,Month-to-Month,2025-12-17 00:00:00,
C00275,Standard,37.24,Month-to-Month,04/21/2024,
C00276,Basic,20.35,Month-to-Month,2024-07-08 00:00:00,
C00277,Standard,42.17,annually,2024-06-16 00:00:00,
C00278,PRO ,20.03,Annual,2025-06-10 00:00:00,01/27/2026
C00279,Standard,39.42,Month-to-Month,2023-03-26 00:00:00,2024-05-01 00:00:00
C00280,Basic,20.08,Month-to-Month,2023-04-17 00:00:00,
C00281,Pro,73.35,Month-to-Month,11/10/2023,
C00282,Pro,80.25,Month-to-Month,2024-07-05 00:00:00,
C00283,Basic,19.46,Month-to-Month,2025-02-02 00:00:00,
C00284,Pro,70.6,Annual,2024-07-14 00:00:00,
C00285,Basic,19.72,Month-to-Month,25.05.2024,
C00286,Standard,35.1,Month-to-Month,2025-11-22 00:00:00,2025-12-05 00:00:00
C00287,Basic,18.35,Month-to-Month,04.07.2023,2024-05-14 00:00:00
C00288,Basic,19.06,Month-to-Month,2024-10-19 00:00:00,2025-12-15 00:00:00
C00289,Standard,36.72,Quarterly,2024-09-12 00:00:00,2025-06-26 00:00:00
C00290,Standard,39.26,Month-to-Month,2024-06-27 00:00:00,
C00291,Standard,39.21,Month-to-Month,2025-07-02 00:00:00,2026-01-22 00:00:00
C00292,Standard,,Annual,2023-11-06 00:00:00,
C00293,Basic,19.86,Month-to-Month,2025-12-15 00:00:00,
C00294,Basic,17.84,Annual,2024-01-19 00:00:00,
C00295,Standard,46.14,Quarterly,2024-09-07 00:00:00,
C00296,Standard,38.66,Annual,08/13/2024,
C00297,Basic,17.22,Quarterly,2025-08-24 00:00:00,
C00298,Basic,17.5,Month-to-Month,2024-05-18 00:00:00,
C00299,Standard,42.58,Month-to-Month,2023-11-29 00:00:00,
C00300,Standard,37.72,month to month,2023-02-06 00:00:00,
C00301,Pro,70.38,Month-to-Month,2024-02-14 00:00:00,2025-02-22 00:00:00
C00302,Standard,41.66,Month-to-Month,2025-07-21 00:00:00,
C00303,Standard,37.7,Month-to-Month,2023-01-17 00:00:00,2023-12-28 00:00:00
C00304,Standard,41.04,Month-to-Month,2025-10-20 00:00:00,
C00305,Basic,20.42,Month-to-Month,2024-09-10 00:00:00,
C00306,Basic,19.42,Annual,2023-06-21 00:00:00,2024-03-28 00:00:00
C00307,Basic,22.64,Month-to-Month,2023-12-07 00:00:00,
C00308,Pro,68.1,Month-to-Month,2024-09-30 00:00:00,
C00309,Basic,17.76,Month-to-Month,12/22/2023,2024-12-14
C00310,Standard,38.2,Annual,2023-05-15 00:00:00,
C00311,Standard,46.05,Month-to-Month,2025-02-02 00:00:00,
C00312,Basic,21.73,month to month,2025-01-31 00:00:00,
C00313,Pro,87.14,Month-to-Month,18.05.2023,
C00314,Standard,36.52,Month-to-Month,2023-11-21 00:00:00,2025-02-27 00:00:00
C00315,Basic,17.97,Quarterly,2023-10-12 00:00:00,08/28/2024
C00316,Pro,73.76,Month-to-Month,2025-01-14 00:00:00,
C00317,Standard,36.56,Month-to-Month,2025-04-06 00:00:00,
C00318,Basic,21.27,Month-to-Month,2025-04-10,
C00319,Standard,38.24,Month-to-Month,2025-12-05,
C00320,Standard,38.65,Month-to-Month,2025-05-18 00:00:00,
C00321,Basic,20.18,Month-to-Month,2024-01-10 00:00:00,2024-08-20 00:00:00
C00322,Enterprise,172.52,Month-to-Month,2023-05-15 00:00:00,
C00323,Standard,39.16,Quarterly,2024-12-06 00:00:00,
C00324,Standard,35.58,Month-to-Month,2025-11-01 00:00:00,
C00325,Basic,18.55,Month-to-Month,2026-01-14 00:00:00,
C00326,Basic,,,2023-09-19 00:00:00,
C00327,Standard,37.01,Month-to-Month,2023-09-26 00:00:00,
C00328,Standard,39.7,Quarterly,2023-02-13 00:00:00,
C00329,Standard,39.69,Month-to-Month,2023-06-16 00:00:00,
C00330,Pro,77.61,Annual,2024-09-27 00:00:00,
C00331,Basic,19.56,Quarterly,09/10/2024,
C00332,Std,36.29,Month-to-Month,2024-02-25 00:00:00,
C00333,Pro,83.31,Annual,2023-12-20 00:00:00,
C00334,Pro,,Annual,2025-07-26 00:00:00,
C00335,Pro,75.94,Qtr,2024-06-14 00:00:00,
C00336,Pro,73.98,Month-to-Month,2025-07-01 00:00:00,
C00337,Basic,18.63,Month-to-Month,2025-12-25 00:00:00,
C00338,,44.84,Month-to-Month,2023-12-28 00:00:00,
C00339,Enterprise,197.99,Quarterly,2023-08-20 00:00:00,
C00340,Standard,35.43,Month-to-Month,2025-12-23 00:00:00,12/29/2025
C00341,Basic,20.4,Month-to-Month,2024-12-19 00:00:00,
C00342,Enterprise,191.49,Quarterly,2023-12-01 00:00:00,
C00343,Basic,19.43,Month-to-Month,2024-12-09 00:00:00,10/31/2025
C00344,basic,18.08,Annual,2024-08-06 00:00:00,
C00345,Basic,20.95,Month-to-Month,2025-10-24 00:00:00,2025-12-31 00:00:00
C00346,Standard,37.16,Annual,2023-10-18 00:00:00,
C00347,Basic,21.12,Month-to-Month,2026-01-29 00:00:00,
C00348,Standard,35.73,Month-to-Month,2025-11-20 00:00:00,2025-12-07 00:00:00
C00349,Pro,77.15,Month-to-Month,2023-07-29 00:00:00,
C00350,Standard,43.37,Month-to-Month,2023-07-10 00:00:00,2024-05-07 00:00:00
C00351,Standard,39.52,Month-to-Month,2024-08-28 00:00:00,
C00352,Pro,93.36,Month-to-Month,2023-02-21 00:00:00,
C00353,Pro,77.3,Annual,2023-12-17 00:00:00,
C00354,Basic,19.39,Month-to-Month,2024-05-05 00:00:00,
C00355,Basic,21.9,Month-to-Month,2025-12-30 00:00:00,
C00356,Standard,34.28,Month-to-Month,2026-01-24 00:00:00,
C00357,Pro,68.65,Month-to-Month,2023-07-04 00:00:00,
C00358,Standard,36.52,Annual,2025-10-05 00:00:00,2026-01-09 00:00:00
C00359,Basic,20.24,annually,2023-04-19 00:00:00,
C00360,Standard,33.98,Quarterly,2025-05-04 00:00:00,
C00361,Standard,40.86,Annual,2025-08-11 00:00:00,
C00362,Standard,40.64,Annual,2025-10-01 00:00:00,
C00363,Pro,91.73,Annual,2023-09-11 00:00:00,
C00364,Pro,,Month-to-Month,2025-10-13 00:00:00,
C00365,Standard,40.14,Quarterly,2023-05-25 00:00:00,
C00366,Standard,43.24,Annual,2024-08-16 00:00:00,
C00367,Standard,40.68,Annual,2024-06-26 00:00:00,
C00368,Std,37.56,Month-to-Month,2024-01-05 00:00:00,
C00369,Standard,35.43,,2023-01-29 00:00:00,
C00370,Standard,37.22,Annual,2025-05-22 00:00:00,
C00371,Standard,38.87,Month-to-Month,2024-01-16 00:00:00,
C00372,Standard,39.55,Annual,2025-01-26 00:00:00,
C00373,Basic,15.75,Month-to-Month,2024-04-17 00:00:00,2024-12-03 00:00:00
C00374,Standard,38.31,Month-to-Month,03/09/2024,
C00375,Standard,39.09,Month-to-Month,2025-10-02 00:00:00,
C00376,Basic,19.83,Month-to-Month,2023-05-01 00:00:00,2023-10-25 00:00:00
C00377,Basic,21.47,Month-to-Month,2025-04-23 00:00:00,
C00378,Basic,19.28,,2025-05-03 00:00:00,
C00379,Enterprise,184.52,Annual,2024-03-16 00:00:00,
C00380,Pro,67.51,Quarterly,2023-10-24 00:00:00,2024-09-09 00:00:00
C00381,Standard,41.14,Qtr,17.01.2023,
C00382,Basic,17.68,Annual,2025-12-05 00:00:00,
C00383,Standard,41.7,Month-to-Month,2025-12-08 00:00:00,
C00384,Std,43.36,month to month,2023-10-11 00:00:00,
C00385,Enterprise,174.42,Quarterly,2023-02-10 00:00:00,
C00386,Basic,19.84,Annual,2023-05-22 00:00:00,
C00387,Basic,20.96,Month-to-Month,2023-03-28 00:00:00,
C00388,Standard,42.18,Annual,2025-07-27 00:00:00,
C00389,Basic,15.81,Month-to-Month,2025-10-09 00:00:00,
C00390,Standard,36.34,Month-to-Month,2023-07-06 00:00:00,2024-06-14 00:00:00
C00391,Pro,70.91,Annual,2025-04-23 00:00:00,
C00392,Basic,19.8,Annual,2023-07-24 00:00:00,2024-06-06 00:00:00
C00393,Standard,40.29,Month-to-Month,2024-03-03 00:00:00,
C00394,Standard,30.58,Month-to-Month,2024-11-17 00:00:00,2026-01-01 00:00:00
C00395,Pro,77.1,Quarterly,2025-03-28 00:00:00,
C00396,Standard,41.5,Month-to-Month,2025-09-18 00:00:00,
C00397,Basic,19.22,Month-to-Month,2023-03-06 00:00:00,
C00398,Standard,39.46,Annual,2023-08-20 00:00:00,
C00399,Standard,37.86,Annual,2023-11-26 00:00:00,
C00400,Pro,72.31,Month-to-Month,2023-12-17 00:00:00,
C00401,Standard,38.95,Month-to-Month,2026-02-05 00:00:00,2026-01-28 00:00:00
C00402,Basic,19.08,Month-to-Month,2025-06-05 00:00:00,
C00403,Pro+,40.92,Month-to-Month,2023-12-28 00:00:00,
C00404,Standard,41.17,Annual,07.01.2026,
C00405,Basic,19.13,Annual,2024-07-16 00:00:00,
C00406,Standard,42.42,annually,2024-07-31 00:00:00,
C00407,Pro,76.63,Month-to-Month,2024-05-13 00:00:00,
C00408,Standard,34.49,Month-to-Month,2023-06-14 00:00:00,
